;ecocyc_id;synonyms;products;n_prods;ko_obs;url;uniprot;class
b4046;EG11929;zur yjbK znuR;EG11929-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11929;P0AC51;operon
b1699;G6922;ydiS;G6922-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6922;P77337;
b2602;EG12446;yfiL;EG12446-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12446;P11289;
b1476;EG11229;fdnI;FDNI-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11229;P0AEK7;membrane
b4312;EG10309;fimB pil;EG10309-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10309;P0ADH5;operon
b1698;G6921;ydiR;G6921-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6921;P77378;
b4548;G0-10464;ypjJ;MONOMER0-2686;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10464;P58033;
b1605;G6861;ydgI arcD;ARCD-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6861;P0AAE5;
b2295;G7189;yfbV;G7189-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7189;P0A8D9;
b1694;EG12432;ydiF;EG12432-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12432;P37766;
b4622;G0-10608;ytcA;MONOMER0-2830;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10608;A5A630;
b3666;EG11054;uhpT;UHPT-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11054;P0AGC0;
b4313;EG10312;fimE hyp pilH;EG10312-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10312;P0ADH7;operon
b1692;EG11234;ydiB;EG11234-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11234;P0A6D5;
b0187;G6095;yaeR;G6095-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6095;P52096;
b1312;G6650;ycjP;YCJP-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6650;P77716;
b0359;G6211;yaiX_2 yaiX;;0;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6211;;
b0848;G6446;ybjM;G6446-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6446;P64439;
b1167;G6607;ymgC;G6607-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6607;P75994;
b3116;EG10991;tdcC;TDCC-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10991;P0AAD8;
b4160;EG10775;psd;PSD-MONOMER PHOSPHASERDECARB-BETA-MONOMER PHOSPHASERDECARB-ALPHA-MONOMER;3;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10775;P0A8K1;
b1381;G6703;ydbH;G6703-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6703;P52645;
b1491;G6785;yddW;G6785-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6785;P64426;
b0752;G6393;zitB ybgR;B0752-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6393;P75757;
b4161;G7841;rsgA yjeQ;G7841-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7841;P39286;
b1568;G6835;ydfX;G6835-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6835;P76165;
b1725;G6930;yniA;G6930-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6930;P77739;
b0441;G6242;ppiD ybaU;G6242-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6242;P0ADY1;membrane
b1877;G7026;yecT;G7026-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7026;P76296;
b1567;G6834;ydfW intK;G6834-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6834;P76164;
b2145;G7144;yeiS;G7144-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7144;P64536;
b1465;EG10644;narV chlZ;NARV-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10644;P0AF32;
b2490;G7307;hyfJ;G7307-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7307;P77453;
b1565;G6832;ydfV;G6832-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6832;P76163;
b2776;G7442;ygcE;G7442-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7442;P55138;
b3350;EG20110;kefB trkB;KEFB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG20110;P45522;
b3579;EG12283;yiaO;EG12283-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12283;P37676;
b1560;G6831;ydfU;G6831-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6831;P76162;
b2174;G7146;lpxT yeiU;G7146-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7146;P76445;
b1175;EG10597;minD minB;EG10597-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10597;P0AEZ3;
b2775;EG13174;yqcE yqcF;B2775-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG13174;P77031;
b1559;G6830;ydfT quuQ;G6830-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6830;P76161;
b2457;G7287;eutM yffZ cchA;G7287-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7287;P0ABF4;
b3110;EG12754;yhaO dlsT cutP;YHAO-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12754;P42628;
b3714;EG11724;adeP yieG purP;EG11724-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11724;P31466;
b1555;G6828;ydfR;G6828-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6828;P76160;
b3530;EG12257;bcsC yhjL;EG12257-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12257;P37650;
b4296;EG12548;yjhF;YJHF-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12548;P39357;
b0270;G6142;yagG;B0270-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=G6142;P75683;
b1553;G6826;rzpQ ydfP;G6826-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6826;P76158;
b2462;G7292;eutS ypfE;G7292-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7292;P63746;
b2242;EG10392;glpB psi-51;ANGLYC3PDEHYDROGSUBUNITB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10392;P13033;membrane
b0010;EG11512;satP yaaH;EG11512-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11512;P0AC98;
b1549;G6822;ydfO;G6822-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6822;P76156;
b0806;G6415;mcbA ybiM;G6415-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6415;P0AAX6;
b3415;EG12380;gntT gntTalpha yhgC gntM usgA;GNTT-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12380;P39835;
b2923;EG11159;argO yggA;YGGA-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11159;P11667;
b1547;G6821;ydfN stfQ;G6821-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6821;P77515;
b2872;G7491;ygeY;G7491-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7491;P65807;
b4288;EG10289;fecD;FECD-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10289;P15029;
b2372;G7235;yfdV;B2372-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7235;P0AA49;
b1539;EG12345;ydfG;EG12345-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12345;P39831;
b3079;G7598;ygjJ;G7598-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7598;P42591;
b2423;EG10198;cysW;CYSW-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10198;P0AEB0;
b1533;EG11639;eamA ydeD;EG11639-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11639;P31125;
b1576;EG11303;ydfD;EG11303-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11303;P29010;
b3378;G7730;yhfU;G7730-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7730;P64631;
b0175;EG10139;cdsA cds;CDPDIGLYSYN-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10139;P0ABG1;
b4464;G7503;ghxQ b2885 (obsolete) ygfR b2884 (obsolete) ygfQ;G7504-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7503;Q46817;
b1571;EG11300;ydfA;EG11300-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11300;P0ACW8;
b4325;G7922;yjiC;G7922-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7922;P39374;
b0112;EG10084;aroP aroR;AROP-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10084;P15993;membrane
b1729;G6934;tcyP ydjN;G6934-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6934;P77529;
b1504;G6794;ydeS;G6794-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6794;P77789;
b2605;EG11152;yfiB;EG11152-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11152;P07021;
b3474;EG12220;yhhT;EG12220-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12220;P0AGM0;
b4020;EG11919;yjbB;EG11919-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11919;P0AF43;
b1503;G6793;ydeR;G6793-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6793;P77294;
b3483;EG11520;yhhH;EG11520-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11520;P28911;
b2196;EG12054;ccmF yejR;EG12054-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12054;P33927;
b4141;G7833;yjeH;B4141-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7833;P39277;
b1498;G6788;ydeN;G6788-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6788;P77318;
b0500;EG11770;ybbD;EG11770-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11770;P33669;
b4074;EG11948;nrfE yjcL;EG11948-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11948;P32710;membrane
b2171;EG12035;yeiP;EG12035-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12035;P0A6N8;
b1497;G6787;ydeM;G6787-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6787;P76134;
b3550;EG12270;yiaC;EG12270-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12270;P37664;
b3892;EG11856;fdoI;FDOI-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11856;P0AEL0;membrane
b0057;EG12611;yabQ b4659;EG12611-MONOMER;1;OBS0-48 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12611;P39221;
b4523;G0-10513;yciX yciX_2;MONOMER0-2886;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10513;P58094;
b0218;G6102;yafU;G6102-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6102;P77354;
b0198;EG11737;metI metD yaeE;METI-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11737;P31547;
b0374;G6225;yaiU;G6225-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6225;P77199;
b0868;G6453;ybjS;G6453-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6453;P75821;
b1177;G6614;ycgJ;G6614-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6614;P76001;
b4159;G7840;mscM yjeP;G7840-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7840;P39285;
b2939;G7521;yqgB;G7521-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7521;P64567;
b1411;G6730;ynbD;G6730-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6730;P76093;
b1506;G6796;yneL;G6796-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6796;P76138;
b1529;EG11637;marC ydeC ydeB;EG11637-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11637;P0AEY1;
b4117;EG11501;adiA adi;ARGDECARBOXDEG-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11501;P28629;
b1751;G6946;ydjY;G6946-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6946;P76220;
b1824;G7000;yobF;G7000-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7000;P64508;
b2983;G7549;yghQ;G7549-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7549;Q46841;
b1342;G6674;zntB ydaN;G6674-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6674;P64423;
b1952;G7045;dsrB;G7045-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7045;P0AEG8;
b2237;EG11422;inaA yfaG;EG11422-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11422;P27294;
b0045;EG11566;yaaU yabE;YAAU-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11566;P31679;
b0587;EG10297;fepE;EG10297-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10297;P26266;
b2271;G7178;yfbL;G7178-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7178;P76482;
b0287;G6158;yagU;G6158-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6158;P0AAA1;
b2492;G7309;focB;FOCB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7309;P77733;
b0950;G6490;pqiA pqi5 pqi5A;G6490-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6490;P0AFL9;
b1366;G6689;ydaY;G6689-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6689;P76069;
b3491;EG12228;yhiM;MONOMER0-2489;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12228;P37630;
b2098;G7130;yegT;B2098-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7130;P76417;
b0484;G6260;copA ybaR;MONOMER0-4382 G6260-MONOMER;2;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6260;;
b1361;G6685;ydaW;G6685-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6685;P76066;
b3088;G7607;alx ygjT;G7607-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7607;P42601;
b2156;EG11337;lysP cadR;LYSP-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11337;P25737;
b3192;G7659;mlaC yrbC;G7659-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7659;P0ADV7;
b1360;G6684;ydaV;G6684-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6684;P77546;
b1826;G7002;mgrB yobG;G7002-MONOMER;1;OBS0-49 OBS0-37;http://ecocyc.org/gene?orgid=ECOLI&id=G7002;P64512;
b1755;G6950;ynjC;YNJC-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6950;P76224;
b3193;EG12799;mlaD vpsC(S.f.) yrbD;EG12799-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12799;P64604;
b1359;G6683;ydaU;G6683-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6683;P76065;
b1493;EG11490;gadB;GLUTDECARBOXB-MONOMER;1;OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11490;P69910;
b4363;EG11215;yjjB;EG11215-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11215;P0ADD2;
b2682;G7405;ygaZ;G7405-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7405;P76630;
b1358;G6682;ydaT;G6682-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6682;P76064;
b4131;EG10131;cadA ldcI;LYSDECARBOX-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10131;P0A9H3;
b1596;G6854;ynfM yzyC;B1596-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6854;P43531;
b3792;EG11486;wzxE wzx yifJ;EG11486-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11486;P0AAA7;
b1357;G6681;ydaS;G6681-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6681;P76063;
b3511;EG11495;hdeD yhiA;EG11495-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11495;P0AET5;
b3451;EG11049;ugpE;UGPE-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11049;P10906;
b1833;G7006;yebS;G7006-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7006;P0AD03;
b1346;G6677;xisR ydaQ;G6677-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6677;P76057;
b1597;G6855;asr;G6855-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6855;P36560;
b2617;EG10952;bamE smpA smqA;EG10952-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10952;P0A937;
b3661;EG10657;nlpA;EG10657-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10657;P04846;
b1355;G6679;ydaG gatA;G6679-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6679;P76061;
b3509;EG11399;hdeB yhiC yhhD;EG11399-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11399;P0AET2;
b0899;G6466;ycaM;YCAM;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6466;P75835;
b0951;G6491;pqiB pqi5 pqi5B;G6491-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6491;P43671;
b1317;G6655;ycjU pgmB;G6655-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6655;P77366;
b1058;G6555;yceO;G6555-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6555;P64442;
b2585;EG10781;pssA pss;PHOSPHASERSYN-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10781;P23830;
b4261;G7888;lptF yjgP;G7888-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=G7888;P0AF98;
b1325;G6661;ycjG ycjH;G6661-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6661;P51981;
b3517;EG50009;gadA gadS;GLUTDECARBOXA-MONOMER;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG50009;P69908;
b0658;G6361;ybeX;G6361-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6361;P0AE78;
b0573;G6321;cusF cusX ylcC;G6321-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6321;P77214;
b2534;G7328;yfhR;G7328-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7328;P77538;
b2809;G7453;ygdI;G7453-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7453;P65292;
